iata,icao,name,location,time,country
PEI,SKPE,Matecaña International Airport,"Pereira, Colombia",Unknown,Colombia
PEK,ZBAA,Beijing Capital International Airport,"Beijing, China",Unknown,China
PEL,FXPG,Pelaneng Airport[1],"Pelaneng, Lesotho",Unknown,Lesotho
PEM,SPTU,Padre Aldamiz International Airport,"Puerto Maldonado, Peru",Unknown,Peru
PEN,WMKP,Penang International Airport,"Penang, Malaysia",Unknown,Malaysia
PEP,Not Available,Peppimenarti Airport[1],"Peppimenarti, Northern Territory, Australia",Unknown,Australia
PEQ,KPEQ,Pecos Municipal Airport,"Pecos, Texas, United States",Unknown,United States
PER,YPPH,Perth Airport,"Perth, Western Australia, Australia",Unknown,Australia
PES,ULPB,Petrozavodsk Airport (Besovets Airport),"Petrozavodsk, Karelia, Russia",Unknown,Russia
PET,SBPK,João Simões Lopes Neto International Airport,"Pelotas, Rio Grande do Sul, Brazil",Unknown,Brazil
PEU,MHPL,Puerto Lempira Airport[1],"Puerto Lempira, Honduras",Unknown,Honduras
PEV,LHPP,Pécs-Pogány International Airport[1],"Pécs, Hungary",Unknown,Hungary
PEW,OPPS,Bacha Khan International Airport,"Peshawar, Pakistan",Unknown,Pakistan
PEX,UUYP,Pechora Airport,"Pechora, Komi Republic, Russia",Unknown,Russia
PEY,Not Available,Penong Airport[1],"Penong, South Australia, Australia",Unknown,Australia
PEZ,UWPP,Penza Airport (Ternovka Airport),"Penza, Penza Oblast, Russia",Unknown,Russia
PFB,SBPF,Lauro Kurtz Airport,"Passo Fundo, Rio Grande do Sul, Brazil",Unknown,Brazil
PFC,KPFC,Pacific City State Airport,"Pacific City, Oregon, United States",Unknown,United States
PFJ,BIPA,Patreksfjörður Airport,"Patreksfjörður, Iceland",Unknown,Iceland
PFM,Not Available,Primrose Aerodrome,"Wood Buffalo, Alberta, Canada",Unknown,Canada
PFO,LCPH,Paphos International Airport,"Paphos, Cyprus",Unknown,Cyprus
PFQ,OITP,Parsabad-Moghan Airport[1],"Parsabad, Iran",Unknown,Iran
PFR,FZVS,Ilebo Airport[1],"Ilebo, Democratic Republic of the Congo",Unknown,Democratic Republic of the Congo
PGA,KPGA,Page Municipal Airport,"Page, Arizona, United States",Unknown,United States
PGB,Not Available,Pangoa Airport[1],"Pangoa, Papua New Guinea",Unknown,Papua New Guinea
PGC,Not Available,Grant County Airport (FAA: W99),"Petersburg, West Virginia, United States",Unknown,United States
PGD,KPGD,Punta Gorda Airport,"Punta Gorda, Florida, United States",Unknown,United States
PGE,Not Available,Yegepa Airport,"Yegepa, Papua New Guinea",Unknown,Papua New Guinea
PGF,LFMP,Perpignan–Rivesaltes Airport,"Perpignan, Languedoc-Roussillon, France",Unknown,France
PGH,VIPT,Pantnagar Airport[1],"Pantnagar, Uttarakhand, India",Unknown,India
PGI,FNCH,Chitato Airport[1],"Chitato, Angola",Unknown,Angola
PGK,WIPK,Depati Amir Airport[1],"Pangkal Pinang (Pangkalpinang), Indonesia",Unknown,Indonesia
PGL,KPQL,Trent Lott International Airport (FAA: PQL),"Pascagoula, Mississippi, United States",Unknown,United States
PGM,Not Available,Port Graham Airport,"Port Graham, Alaska, United States",Unknown,United States
PGN,Not Available,Pangia Airport[1],"Pangia, Papua New Guinea",Unknown,Papua New Guinea
PGO,KPSO,Stevens Field (FAA: PSO),"Pagosa Springs, Colorado, United States",Unknown,United States
PGQ,WAEM,Buli Airport,"Buli, North Maluku, Indonesia",Unknown,Indonesia
PGR,KPGR,Kirk Field,"Paragould, Arkansas, United States",Unknown,United States
PGS,Not Available,Grand Canyon Caverns Airport (FAA: L37),"Peach Springs, Arizona, United States",Unknown,United States
PGU,OIBP,Persian Gulf Airport[1],"Asaluyeh (Asaloyeh), Iran",Unknown,Iran
PGV,KPGV,Pitt–Greenville Airport,"Greenville, North Carolina, United States",Unknown,United States
PGX,LFBX,Périgueux Bassillac Airport,"Périgueux, Aquitaine, France",Unknown,France
PGZ,SSZW,Comte. Antonio Amilton Beraldo Airport[1],"Ponta Grossa, Paraná, Brazil",Unknown,Brazil
PHA,VVPR,Phan Rang Air Base[1],"Phan Rang–Tháp Chàm, Vietnam",Unknown,Vietnam
PHB,SBPB,Parnaíba-Prefeito Dr. João Silva Filho International Airport,"Parnaíba, Piauí, Brazil",Unknown,Brazil
PHC,DNPO,Port Harcourt International Airport,"Port Harcourt, Nigeria",Unknown,Nigeria
PHD,KPHD,Harry Clever Field,"New Philadelphia, Ohio, United States",Unknown,United States
PHE,YPPD,Port Hedland International Airport,"Port Hedland, Western Australia, Australia",Unknown,Australia
PHF,KPHF,Newport News/Williamsburg International Airport,"Newport News / Williamsburg, Virginia, United States",Unknown,United States
PHG,Not Available,Port Harcourt City Airport[1],"Port Harcourt, Nigeria",Unknown,Nigeria
PHI,SNYE,Pinheiro Airport[1],"Pinheiro, Maranhão, Brazil",Unknown,Brazil
PHK,KPHK,Palm Beach County Glades Airport,"Pahokee, Florida, United States",Unknown,United States
PHL,KPHL,Philadelphia International Airport,"Philadelphia, Pennsylvania, United States",Unknown,United States
PHN,KPHN,St. Clair County International Airport,"Port Huron, Michigan, United States",Unknown,United States
PHO,PAPO,Point Hope Airport,"Point Hope, Alaska, United States",Unknown,United States
PHP,KPHP,Philip Airport,"Philip, South Dakota, United States",Unknown,United States
PHQ,YTMO,The Monument Airport[1],"Phosphate Hill, Queensland, Australia",Unknown,Australia
PHR,NFND,Pacific Harbour Airport[1],"Pacific Harbour, Fiji",Unknown,Fiji
PHS,VTPP,Phitsanulok Airport,"Phitsanulok, Thailand",Unknown,Thailand
PHT,KPHT,Henry County Airport,"Paris, Tennessee, United States",Unknown,United States
PHW,FAPH,Hendrik Van Eck Airport,"Phalaborwa, South Africa",Unknown,South Africa
PHX,KPHX,Phoenix Sky Harbor International Airport,"Phoenix, Arizona, United States",Unknown,United States
PHY,VTPB,Phetchabun Airport,"Phetchabun, Thailand",Unknown,Thailand
PIA,KPIA,General Wayne A. Downing Peoria International Airport,"Peoria, Illinois, United States",Unknown,United States
PIB,KPIB,Hattiesburg–Laurel Regional Airport,"Hattiesburg / Laurel, Mississippi, United States",Unknown,United States
PIC,MBPI,Pine Cay Airport[1],"Pine Cay, British Overseas Territory of Turks and Caicos Islands",Unknown,British Overseas Territory of Turks and Caicos Islands
PIE,KPIE,St. Pete–Clearwater International Airport,"St. Petersburg / Clearwater, United States",Unknown,United States
PIF,RCDC[2],Pingtung South Airport[1],"Pingtung City, Taiwan",Unknown,Taiwan
PIH,KPIH,Pocatello Regional Airport,"Pocatello, Idaho, United States",Unknown,United States
PIK,EGPK,Glasgow Prestwick Airport,"Glasgow, Scotland, United Kingdom",Unknown,United Kingdom
PIL,SGPI,Carlos Miguel Jiménez Airport,"Pilar, Paraguay",Unknown,Paraguay
PIM,KPIM,Harris County Airport,"Pine Mountain, Georgia, United States",Unknown,United States
PIN,SWPI,Júlio Belém Airport,"Parintins, Amazonas, Brazil",Unknown,Brazil
PIO,SPSO,Capitán FAP Renán Elías Olivera Airport,"Pisco, Peru",Unknown,Peru
PIP,PAPN,Pilot Point Airport (FAA: PNP),"Pilot Point, Alaska, United States",Unknown,United States
PIQ,Not Available,Pipillipai Airport[1],"Pipillipai, Guyana",Unknown,Guyana
PIR,KPIR,Pierre Regional Airport,"Pierre, South Dakota, United States",Unknown,United States
PIS,LFBI,Poitiers–Biard Airport,"Poitiers, Poitou-Charentes, France",Unknown,France
PIT,KPIT,Pittsburgh International Airport,"Pittsburgh, Pennsylvania, United States",Unknown,United States
PIU,SPUR,FAP Captain Guillermo Concha Iberico International Airport,"Piura, Peru",Unknown,Peru
PIV,SNPX,Pirapora Airport[1],"Pirapora, Minas Gerais, Brazil",Unknown,Brazil
PIW,CZMN,Pikwitonei Airport[1],"Pikwitonei, Manitoba, Canada",Unknown,Canada
PIX,LPPI,Pico Airport,"Pico Island, Azores, Portugal",Unknown,Portugal
PIZ,PPIZ,Point Lay LRRS Airport,"Point Lay, Alaska, United States",Unknown,United States
PJA,ESUP,Pajala Airport,"Pajala, Sweden",Unknown,Sweden
PJB,KPAN,Payson Airport (FAA: PAN),"Payson, Arizona, United States",Unknown,United States
PJC,SGPJ,Dr. Augusto Roberto Fuster International Airport,"Pedro Juan Caballero, Paraguay",Unknown,Paraguay
PJG,OPPG,Panjgur Airport,"Panjgur, Pakistan",Unknown,Pakistan
PJM,MRPJ,Puerto Jiménez Airport,"Puerto Jiménez, Costa Rica",Unknown,Costa Rica
PKA,PAPK,Napaskiak Airport,"Napaskiak, Alaska, United States",Unknown,United States
PKB,KPKB,Mid-Ohio Valley Regional Airport,"Parkersburg, West Virginia, United States",Unknown,United States
PKC,UHPP,Petropavlovsk-Kamchatsky Airport (Yelizovo Airport),"Petropavlovsk-Kamchatsky, Kamchatka Krai, Russia",Unknown,Russia
PKD,KPKD,Park Rapids Municipal Airport (Konshok Field),"Park Rapids, Minnesota, United States",Unknown,United States
PKE,YPKS,Parkes Airport[1],"Parkes, New South Wales, Australia",Unknown,Australia
PKF,KPKF,Park Falls Municipal Airport,"Park Falls, Wisconsin, United States",Unknown,United States
PKG,WMPA,Pangkor Airport[1],"Pangkor Island, Perak, Malaysia",Unknown,Malaysia
